#COURSE,NAME,CREDITS,SEMESTER,PRE-REQUISITES,CO-REQUISITES
CS-125,Computer Science 1,4,1,,
FYF-101,First-Year Foundation,3,1,,
ENG-101,Composition,4,1,,
MTH-111,Calculus 1,4,1,,
CS-126,Computer Science 2,4,2,,
MTH-112,Calculus 2,4,2,,
CS-246,C and Unix,3,2,,
CS-225,Computer Science 3,3,3,,
MTH-202,Set Theory and Logic,4,3,,
CS-226,Computer Science 4,3,4,,
MTH-231,Discrete Mathematics,3,4,,
ENG-202,Tech and Prof. Writing,3,4,,
CS-326,Operating System Principles,3,5,,
MTH-150,Elementary Statistics,3,5,,
MTH-351,Probability and Statistics 1,3,5,,
CS-334,Software Engineering,3,6,,
CS-330,Computer Arch.,3,6,,
CS-319,Programming Languages,3,6,,
CS-323,Theory of Computation,3,6,,
CS-327,Compiler Design,3,6,,
CS-391,Senior Projects 1,1,7,,
CS-326,Operating System,3,7,,
CS-328,Analysis of Algorithms,3,7,,
CS-392,Senior Projects 2,2,8,,
CS-319,Programming Languages,3,8,,
CS-323,Theory of Computation,3,8,,
CS-327,Compiler Design,3,8,,
