#COURSE,NAME,CREDITS,SEMESTER,PRE-REQUISITES,CO-REQUISITES
MTH-111,Calculus 1,4,1,,,
CHM-117,Introductory Chemistry Lab for Engineers,1,1,,CHM-118,
CHM-118,Chemistry for Engineers,3,1,,CHM-117,
ME-180,CADD Lab,1,1,,,
ENG-101,Composition,4,1,,,
FYF-101,First-Year Foundations,3,1,,,
MTH-112,Calculus 2,4,2,MTH-111,,
PHY-201,General Physics 1,4,2,,MTH-111,
EGR-140,Computational & Statistical Analysis,3,2,,MTH-111,
EGR-200,Introduction to Materials Science,3,2,CHM-118,,
MTH-211,Intro. to Differential Equations,4,3,MTH-112,,
PHY-202,General Physics 2,4,3,PHY-201,MTH-112,
EE-211,Electrical Circuits and Devices,3,3,,MTH-112,
EE-283,Electrical Measurements Lab,1,3,,EE-211,
ME-231,Statics,3,3,PHY-201,MTH-112,
EGR-214,Linear Systems,3,4,EE-211:MTH-112,,
EE-251,Electronics 1,3,4,EE-211,,
EGR-222,Mechatronics,3,4,EE-211:EE-283:EGR-140:PHY-202,,
EE-241,Digital Design,4,4,,,
EE-252,Electronics 2,4,5,EE-251:EE-283:MTH-112:PHY-202,,
EE-271,Semiconductor Devices,3,5,CHM-117:PHY-202,,
EE-373,CAD for Microfabrication,1,5,,EE-381,
EE-381,Microfabrication Lab,3,5,,,
EGR-399,Cooperative Education,,6,,,
EGR-201,Professionalism and Ethics,1,6,,,
EGM-320,Engineering Project Management & Analysis,3,6,,,
EE-314,Control Systems,3,7,EE-211:EGR-214,,
EE-337,Engineering Electromagnetics 1,4,7,EGR-214:PHY-202,,
EE-391,Senior Project 1,1,7,,,
EE-325,Energy Conversion Devices,3,7,EE-251,,
EE-339,Engineering Electromagnetics 2,4,8,EE-337,,
EE-382,Modern Communication Systems,4,8,EE-252:EE-337:EGR-214,,
EE-392,Senior Projects 2,2,8,,,
