#COURSE,NAME,CREDITS,SEMESTER,PRE-REQUISITES,CO-REQUISITES
ART-111,Fundamentals of Color and Design,3,1,,
BA-153,Managment Foundations 1,3,1,,
CS-125,Computer Science 1,4,1,,
COM-102,Principles of Communication,3,1,,
FYF-101,First-Year Foundations,3,1,,
ENG-202,Technical & Professional Writing,3,4,,
CS-126,Computer Science 2,4,2,,
ENG-101,Composition,4,2,,
IM-101,Integrative Media Foundations 1,3,2,,
ENT-203,Opportunity Identification: Creativity & Innovation,3,3,,
IM-201,Integrative Media Foundations 2,3,3,,
COM-102,Principles of Communication,3,4,,
CS-226,Computer Science 4,3,4,,
IM-301,Principles of Motion and Layering,3,4,,
CS-283,Web Development 1,3,5,,
IM-302,Integrative Media Principles of Interactivity,3,5,,
IM-320,Integrative Media Concept Development & Processes,3,5,,
CS-325,Database Management,3,6,,
IM-391,Integrative Media Project 1,3,6,,
CS-383,Web Development 2,3,7,,
IM-392,Integrative Media Project 2,3,7,,
IM-399,Cooperative Education,1-6,8,,
IM-400,Integrative Media Portfolio Capstone,3,8,,
